Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
NA,Estimated total,1,1119,7,207,189,716,7351,1578,5467,306
NA,"Rate per 100,000 inhabitants",NA,424.1,2.7,78.4,71.6,271.3,2785.8,598,2071.8,116
"Walla Walla, WA M.S.A.",NA,64789,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Columbia and Walla Walla Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Walla Walla,32326,122,2,23,17,80,1372,233,1041,98
NA,Total area actually reporting,1,162,2,36,20,104,2050,365,1525,160
NA,"Rate per 100,000 inhabitants",NA,250,3.1,55.6,30.9,160.5,3164.1,563.4,2353.8,247
"Warner Robins, GA M.S.A.",NA,189578,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Houston, Peach, and Pulaski Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Warner Robins,74419,494,6,31,143,314,4111,768,3125,218
NA,Total area actually reporting,1,857,9,45,191,612,6711,1315,5030,366
NA,"Rate per 100,000 inhabitants",NA,452.1,4.7,23.7,100.8,322.8,3540,693.6,2653.3,193.1
"Washington-Arlington-Alexandria, DC-VA-MD-WV M.S.A.",NA,6152267,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes the Metropolitan Divisions of Silver Spring-Frederick-Rockville, MD and Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Washington, D.C.",681170,7711,138,527,3149,3897,31661,2360,26402,2899
NA,"City of Alexandria, VA",155319,286,7,21,134,124,2798,184,2343,271
NA,"City of Frederick, MD",70316,343,1,23,70,249,1411,141,1222,48
NA,Total area actually reporting,0.886,16494,257,1701,6074,8462,100386,9239,84211,6936
NA,Estimated total,1,18535,275,1888,6663,9709,113381,11316,94312,7753
NA,"Rate per 100,000 inhabitants",NA,301.3,4.5,30.7,108.3,157.8,1842.9,183.9,1533,126
"Silver Spring-Frederick-Rockville, MD M.D.",NA,1293480,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Frederick and Montgomery Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,2439,17,374,812,1236,18777,2426,15361,990
NA,"Rate per 100,000 inhabitants",NA,188.6,1.3,28.9,62.8,95.6,1451.7,187.6,1187.6,76.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV M.D.",NA,4858787,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes District of Columbia; Calvert, Charles, and Prince George's Counties, MD; Arlington, Clarke, Culpeper, Fairfax, Fauquier, Loudoun, Prince William, Rappahannock, Spotsylvania, Stafford, and Warren Counties and Alexandria, Fairfax, Falls Church, Fredericksburg, Manassas, and Manassas Park Cities, VA; and Jefferson County, WV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,0.856,14055,240,1327,5262,7226,81609,6813,68850,5946
NA,Estimated total,1,16096,258,1514,5851,8473,94604,8890,78951,6763
NA,"Rate per 100,000 inhabitants",NA,331.3,5.3,31.2,120.4,174.4,1947.1,183,1624.9,139.2
"Waterloo-Cedar Falls, IA M.S.A.",NA,170888,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Black Hawk, Bremer, and Grundy Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Waterloo,68470,507,3,56,61,387,2120,614,1368,138
NA,City of Cedar Falls,41651,66,0,20,9,37,708,118,559,31
NA,Total area actually reporting,1,756,3,92,72,589,3386,898,2288,200
NA,"Rate per 100,000 inhabitants",NA,442.4,1.8,53.8,42.1,344.7,1981.4,525.5,1338.9,117
"Watertown-Fort Drum, NY M.S.A.",NA,117080,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Jefferson County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Watertown,26765,181,1,41,15,124,1171,194,953,24
NA,Total area actually reporting,1,281,2,92,17,170,2079,349,1681,49
NA,"Rate per 100,000 inhabitants",NA,240,1.7,78.6,14.5,145.2,1775.7,298.1,1435.8,41.9
"Wausau, WI M.S.A.2",NA,136010,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Marathon County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Wausau,39091,114,0,29,25,60,959,137,776,46
NA,Total area actually reporting,1,180,1,39,27,113,1787,296,1430,61
NA,"Rate per 100,000 inhabitants",NA,132.3,0.7,28.7,19.9,83.1,1313.9,217.6,1051.4,44.8
"Weirton-Steubenville, WV-OH M.S.A.",NA,119362,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Jefferson County, OH and Brooke and Hancock Counties, WV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Weirton, WV",19067,22,0,4,7,11,209,41,152,16
NA,"City of Steubenville, OH",18137,60,2,4,22,32,1085,132,945,8
NA,Total area actually reporting,0.863,153,2,19,35,97,1691,276,1369,46
NA,Estimated total,1,190,2,25,43,120,2150,351,1730,69
NA,"Rate per 100,000 inhabitants",NA,159.2,1.7,20.9,36,100.5,1801.2,294.1,1449.4,57.8
"Wenatchee, WA M.S.A.",NA,117637,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Chelan and Douglas Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Wenatchee,33920,88,0,21,14,53,1128,166,900,62
NA,Total area actually reporting,1,169,1,31,18,119,2626,502,1957,167
NA,"Rate per 100,000 inhabitants",NA,143.7,0.9,26.4,15.3,101.2,2232.3,426.7,1663.6,142
"Wheeling, WV-OH M.S.A.",NA,142933,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Belmont County, OH and Marshall and Ohio Counties, WV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Wheeling, WV",27486,266,1,12,30,223,669,183,453,33
NA,Total area actually reporting,0.9,475,4,55,36,380,1878,481,1295,102
NA,Estimated total,1,500,4,60,43,393,2223,538,1568,117
NA,"Rate per 100,000 inhabitants",NA,349.8,2.8,42,30.1,275,1555.3,376.4,1097,81.9
"Wichita, KS M.S.A.7",NA,643764,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Butler, Harvey, Kingman, Sedgwick, and Sumner Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Wichita,391399,4136,31,309,652,3144,21065,3593,15284,2188
NA,Total area actually reporting,0.992,4553,42,385,683,3443,NA,NA,18728,2502
NA,Estimated total,1,4563,42,387,684,3450,NA,NA,18806,2510
NA,"Rate per 100,000 inhabitants",NA,708.8,6.5,60.1,106.3,535.9,NA,NA,2921.3,389.9
"Wichita Falls, TX M.S.A.",NA,150165,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Archer, Clay, and Wichita Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Wichita Falls,104685,445,9,124,123,189,3734,825,2646,263
NA,Total area actually reporting,0.977,535,12,134,127,262,4493,1022,3139,332
NA,Estimated total,1,544,12,135,129,268,4576,1035,3203,338
NA,"Rate per 100,000 inhabitants",NA,362.3,8,89.9,85.9,178.5,3047.3,689.2,2133,225.1
"Williamsport, PA M.S.A.",NA,115682,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Lycoming County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Williamsport,29163,104,5,8,39,52,792,101,668,23
NA,Total area actually reporting,1,238,7,32,58,141,1752,248,1452,52
NA,"Rate per 100,000 inhabitants",NA,205.7,6.1,27.7,50.1,121.9,1514.5,214.4,1255.2,45
"Wilmington, NC M.S.A.",NA,282695,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes New Hanover and Pender Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Wilmington,117852,759,15,44,204,496,4771,1277,3219,275
NA,Total area actually reporting,0.991,1021,17,81,268,655,8270,2081,5771,418
NA,Estimated total,1,1028,17,82,270,659,8348,2096,5831,421
NA,"Rate per 100,000 inhabitants",NA,363.6,6,29,95.5,233.1,2953,741.4,2062.6,148.9
"Winchester, VA-WV M.S.A.",NA,134144,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Frederick County and Winchester City, VA and Hampshire County, WV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Winchester, VA",27363,61,1,27,16,17,776,122,638,16
NA,Total area actually reporting,0.997,185,7,67,26,85,1964,341,1535,88
NA,Estimated total,1,186,7,67,26,86,1977,343,1545,89
NA,"Rate per 100,000 inhabitants",NA,138.7,5.2,49.9,19.4,64.1,1473.8,255.7,1151.7,66.3
"Worcester, MA-CT M.S.A.4",NA,861261,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Windham County, CT and Worcester County, MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Worcester, MA",184595,1642,8,63,394,1177,5358,1366,3473,519
NA,Total area actually reporting,0.947,NA,12,282,584,NA,13153,2815,9422,916
NA,Estimated total,1,NA,12,295,606,NA,13782,2927,9893,962
NA,"Rate per 100,000 inhabitants",NA,NA,1.4,34.3,70.4,NA,1600.2,339.9,1148.7,111.7
"Yakima, WA M.S.A.",NA,250717,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Yakima County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Yakima,94111,496,13,47,126,310,4943,1143,3163,637
NA,Total area actually reporting,1,751,21,82,187,461,9067,2060,5789,1218
NA,"Rate per 100,000 inhabitants",NA,299.5,8.4,32.7,74.6,183.9,3616.4,821.6,2309,485.8
"York-Hanover, PA M.S.A.",NA,443062,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes York County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of York,44017,416,8,12,208,188,1408,298,917,193
NA,City of Hanover,15537,23,0,0,9,14,418,43,371,4
NA,Total area actually reporting,1,1039,19,107,306,607,7029,948,5674,407
NA,"Rate per 100,000 inhabitants",NA,234.5,4.3,24.2,69.1,137,1586.5,214,1280.6,91.9
"Yuba City, CA M.S.A.",NA,170558,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Sutter and Yuba Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Yuba City,67198,272,8,24,76,164,2030,406,1389,235
NA,Total area actually reporting,1,678,13,50,137,478,4635,1097,2800,738
NA,"Rate per 100,000 inhabitants",NA,397.5,7.6,29.3,80.3,280.3,2717.6,643.2,1641.7,432.7
"Aguadilla-Isabela, Puerto Rico M.S.A.",NA,309696,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Aguada, Aguadilla, Anasco, Isabela, Lares, Moca, Rincon, San Sebastian, and Utuado Municipios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,424,22,12,86,304,2030,703,1253,74
NA,"Rate per 100,000 inhabitants",NA,136.9,7.1,3.9,27.8,98.2,655.5,227,404.6,23.9
"Arecibo, Puerto Rico M.S.A.",NA,185250,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Arecibo, Camuy, Hatillo, and Quebradillas Municipios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,314,10,4,96,204,1633,393,1121,119
NA,"Rate per 100,000 inhabitants",NA,169.5,5.4,2.2,51.8,110.1,881.5,212.1,605.1,64.2
"Guayama, Puerto Rico M.S.A.",NA,77771,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Arroyo, Guayama, and Patillas Municipios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,182,19,8,39,116,614,222,382,10
NA,"Rate per 100,000 inhabitants",NA,234,24.4,10.3,50.1,149.2,789.5,285.5,491.2,12.9
"Mayaguez, Puerto Rico M.S.A.",NA,94038,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Hormigueros and Mayaguez Municipios,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,248,16,4,68,160,1137,290,811,36
NA,"Rate per 100,000 inhabitants",NA,263.7,17,4.3,72.3,170.1,1209.1,308.4,862.4,38.3
"Ponce, Puerto Rico M.S.A.",NA,309512,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Guanica, Guyanilla, Juana Diaz, Penuelas, Ponce, Villalba, and Yauco Municipios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,785,70,22,179,514,2557,611,1839,107
NA,"Rate per 100,000 inhabitants",NA,253.6,22.6,7.1,57.8,166.1,826.1,197.4,594.2,34.6
"San German, Puerto Rico M.S.A.",NA,128279,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Cabo Rojo, Lajas, Sabana Grande, and San German Municipios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,117,9,4,34,70,450,173,245,32
NA,"Rate per 100,000 inhabitants",NA,91.2,7,3.1,26.5,54.6,353.1,134.9,193.3,24.9
"San Juan-Carolina-Caguas, Puerto Rico M.S.A.",NA,2157729,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Aguas Buenas, Aibonito, Barceloneta, Barranquitas, Bayamon, Caguas, Canovanas, Carolina, Catano, Cayey, Ceiba, Ciales, Cidra, Comerio, Corozal, Dorado, Fajardo, Florida, Guaynabo, Gurabo, Humacao, Juncos, Las Piedras, Loiza, Luquillo, Manati, Maunabo, Morovis, Naguabo, Naranjito, Orocovis, Rio Grande, San Juan, San Lorenzo, Toa Alta, Toa Baja, Trujillo Alto, Vega Alta, Vega Baja, and Yabucoa Municipios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,5292,504,106,2653,2029,25686,5515,16802,3369
NA,"Rate per 100,000 inhabitants",NA,245.3,23.4,4.9,123,94,1190.4,255.6,778.7,156.1
